player1,player2,game_num,time_taken,moves,win_1,win_2,pieces_1,pieces_2
custom,hunter,0,586,284,0,1,7,20
custom,hunter,1,581,276,0,1,7,27
custom,hunter,2,612,290,0,1,7,27
custom,hunter,3,3587,2001,0,0,7,21
custom,hunter,4,3210,2001,0,0,7,19
custom,hunter,5,1715,970,0,60,0,0
custom,asmodeus,0,836,462,0,1,6,8
custom,asmodeus,1,592,253,1,0,10,17
custom,asmodeus,2,2700,2001,0,0,8,13
custom,asmodeus,3,746,412,0,1,2,10
custom,asmodeus,4,671,307,1,0,14,11
custom,asmodeus,5,1109,687,40,40,0,0
custom,basic,0,986,469,1,0,20,7
custom,basic,1,118,55,1,0,36,29
custom,basic,2,720,407,1,0,28,12
custom,basic,3,804,886,0,1,8,11
custom,basic,4,339,299,1,0,21,15
custom,basic,5,593,423,80,20,0,0
custom,rnad,0,559,473,1,0,19,11
custom,rnad,1,494,413,1,0,26,13
custom,rnad,2,528,443,100,0,0,0
custom,mcts,0,1706,483,1,0,18,8
custom,mcts,1,1924,565,1,0,20,11
custom,mcts,2,1815,524,100,0,0,0
