player1,player2,game_num,time_taken,moves,win
custom,asmodeus,0,333,2001,0
custom,asmodeus,1,231,382,0
custom,asmodeus,2,182,351,1
custom,asmodeus,3,741,2001,0
custom,asmodeus,4,178,320,0
custom,asmodeus,5,333,1011,20
custom,basicAI,0,277,423,1
custom,basicAI,1,248,369,1
custom,basicAI,2,191,271,1
custom,basicAI,3,287,415,1
custom,basicAI,4,198,291,1
custom,basicAI,5,240,353,100
custom,rnad,0,385,545,1
custom,rnad,1,527,895,1
custom,rnad,2,281,389,1
custom,rnad,3,340,505,1
custom,rnad,4,333,443,1
custom,rnad,5,373,555,100
asmodeus,custom,0,167,280,0
asmodeus,custom,1,204,367,1
asmodeus,custom,2,402,1965,1
asmodeus,custom,3,216,367,1
asmodeus,custom,4,126,225,1
asmodeus,custom,5,223,640,80
asmodeus,basicAI,0,6,395,1
asmodeus,basicAI,1,6,391,1
asmodeus,basicAI,2,5,311,1
asmodeus,basicAI,3,7,387,1
asmodeus,basicAI,4,4,277,1
asmodeus,basicAI,5,5,352,100
asmodeus,rnad,0,6,377,1
asmodeus,rnad,1,6,295,1
asmodeus,rnad,2,7,383,1
asmodeus,rnad,3,6,317,1
asmodeus,rnad,4,6,277,1
asmodeus,rnad,5,6,329,100
basicAI,custom,0,242,352,0
basicAI,custom,1,255,348,0
basicAI,custom,2,254,362,0
basicAI,custom,3,322,434,0
basicAI,custom,4,414,558,0
basicAI,custom,5,297,410,0
basicAI,asmodeus,0,6,338,0
basicAI,asmodeus,1,4,326,0
basicAI,asmodeus,2,6,382,0
basicAI,asmodeus,3,6,330,0
basicAI,asmodeus,4,5,336,0
basicAI,asmodeus,5,5,342,0
basicAI,rnad,0,3,1619,1
basicAI,rnad,1,3,2001,0
basicAI,rnad,2,3,1688,0
basicAI,rnad,3,3,1846,0
basicAI,rnad,4,3,1466,0
basicAI,rnad,5,3,1724,20
rnad,custom,0,308,436,0
rnad,custom,1,208,276,0
rnad,custom,2,271,412,0
rnad,custom,3,229,338,0
rnad,custom,4,337,504,0
rnad,custom,5,270,393,0
rnad,asmodeus,0,7,468,0
rnad,asmodeus,1,8,392,0
rnad,asmodeus,2,12,592,0
rnad,asmodeus,3,7,378,0
rnad,asmodeus,4,3,206,0
rnad,asmodeus,5,7,407,0
rnad,basicAI,0,2,887,1
rnad,basicAI,1,2,1017,1
rnad,basicAI,2,2,1372,0
rnad,basicAI,3,2,1039,1
rnad,basicAI,4,2,1369,1
rnad,basicAI,5,2,1136,80
